"customer_id","total_rental"
148,9731.30
526,9386.10
144,7963.20
178,7589.79
137,7473.18
236,6997.62
459,6977.94
410,6369.56
469,6346.00
75,6134.01
468,6031.74
181,5700.78
403,5693.45
176,5612.16
373,5483.10
366,5388.68
197,5347.20
522,5335.44
257,5278.42
348,5207.76
372,5191.12
267,5136.12
21,5133.80
5,5116.70
50,5064.50
470,5046.08
462,5038.77
29,4991.40
26,4987.12
211,4986.78
439,4956.12
259,4950.40
360,4919.12
368,4889.15
550,4854.08
86,4840.44
532,4790.08
295,4777.36
380,4775.40
119,4749.46
66,4748.78
454,4741.44
209,4726.72
204,4714.15
390,4708.77
346,4662.40
198,4613.16
576,4613.12
237,4576.77
273,4575.20
354,4524.12
196,4504.15
362,4502.08
46,4477.46
513,4454.70
502,4443.80
566,4443.12
172,4412.10
168,4409.12
78,4392.39
533,4379.10
38,4340.44
506,4330.20
371,4329.85
7,4313.76
120,4310.40
15,4309.76
347,4281.00
102,4280.10
147,4273.12
187,4248.44
84,4247.10
129,4238.44
125,4214.08
494,4206.70
30,4204.44
342,4181.76
114,4181.10
479,4176.01
210,4175.70
473,4171.46
87,4131.60
80,4131.00
242,4118.72
39,4109.59
520,4086.08
141,4086.08
274,4085.55
51,4082.10
207,4070.48
363,4051.88
438,4016.10
451,4016.10
404,4011.30
89,3990.72
103,3990.01
472,3952.20
535,3927.04
244,3926.40
230,3916.77
467,3906.88
406,3894.08
112,3891.60
560,3891.30
349,3877.88
122,3862.40
484,3861.90
265,3848.88
300,3835.94
27,3834.70
306,3831.04
436,3801.90
108,3801.60
558,3800.16
35,3798.40
128,3798.40
91,3768.10
241,3763.12
314,3752.43
448,3704.17
158,3702.40
239,3696.48
146,3675.17
1,3670.40
482,3646.46
569,3639.36
591,3637.71
138,3627.12
499,3621.30
393,3587.01
221,3576.44
163,3558.59
279,3557.56
13,3556.71
309,3526.25
416,3525.32
260,3524.70
71,3501.60
179,3501.46
356,3501.30
381,3488.80
277,3480.32
167,3478.72
56,3472.20
186,3463.01
254,3446.40
565,3443.17
584,3441.90
388,3441.60
107,3441.60
92,3436.72
200,3421.98
206,3421.71
573,3413.88
166,3408.44
497,3408.44
446,3401.32
3,3399.76
426,3394.98
253,3385.46
263,3385.17
28,3382.40
131,3381.90
45,3367.98
529,3355.88
42,3351.30
442,3350.72
293,3341.49
2,3340.98
157,3339.01
54,3327.46
589,3325.00
154,3321.90
595,3321.30
245,3319.68
434,3313.98
302,3298.46
504,3297.00
297,3291.42
424,3291.30
32,3269.46
49,3269.28
485,3268.88
334,3262.50
491,3260.25
405,3254.40
337,3241.04
113,3240.17
173,3240.17
592,3239.59
59,3233.52
418,3231.00
214,3215.94
262,3212.44
23,3201.90
503,3191.04
452,3190.72
266,3184.72
575,3183.04
538,3182.17
447,3182.17
481,3181.88
386,3181.88
421,3179.25
444,3171.60
329,3160.64
289,3142.80
423,3139.24
588,3124.17
251,3123.25
389,3113.50
487,3113.24
296,3113.10
408,3111.90
20,3111.90
515,3100.72
213,3100.44
559,3100.16
90,3100.16
52,3094.88
82,3087.76
16,3073.00
376,3072.44
139,3070.71
285,3062.02
284,3045.84
574,3044.44
508,3044.25
25,3037.17
397,3036.88
149,3035.50
64,3026.10
135,3021.60
577,3016.98
332,3016.72
579,3016.71
441,3016.44
145,3016.44
512,3009.24
457,2988.44
41,2968.75
220,2963.25
400,2961.28
594,2936.79
256,2932.50
225,2905.76
269,2903.70
563,2892.17
471,2881.98
116,2881.98
160,2881.71
495,2879.76
126,2877.00
339,2872.80
331,2856.06
58,2855.52
396,2854.98
40,2854.98
96,2854.71
170,2854.02
323,2844.25
433,2844.25
161,2842.80
407,2827.98
518,2827.50
585,2826.24
582,2819.00
63,2818.75
319,2813.70
336,2813.40
268,2806.91
280,2801.79
57,2792.72
307,2784.00
275,2782.50
361,2781.01
240,2776.02
234,2775.50
292,2775.06
190,2774.25
531,2769.25
374,2765.00
294,2750.02
536,2744.25
171,2723.50
121,2723.50
31,2723.24
590,2719.00
14,2709.56
317,2709.28
500,2709.00
583,2708.71
540,2706.24
202,2697.24
132,2680.16
510,2672.02
587,2671.76
343,2669.25
155,2669.00
580,2665.98
53,2662.80
72,2661.90
258,2658.24
276,2653.56
44,2646.54
593,2645.76
193,2644.25
581,2639.25
12,2624.72
486,2620.02
219,2619.50
286,2612.52
74,2611.98
115,2601.90
340,2596.87
571,2586.72
427,2586.48
453,2570.71
98,2569.00
425,2567.50
299,2543.70
461,2540.44
127,2538.72
490,2538.72
383,2531.25
517,2519.00
572,2519.00
445,2515.76
422,2515.50
537,2469.00
264,2468.75
553,2466.48
111,2463.50
36,2450.25
460,2444.75
562,2444.50
100,2442.48
105,2438.28
385,2437.76
377,2437.24
333,2424.06
83,2419.50
414,2419.25
182,2411.76
516,2411.76
474,2411.50
345,2410.17
493,2409.94
77,2401.56
133,2396.25
324,2394.50
11,2394.48
199,2394.00
456,2394.00
391,2392.50
341,2386.94
570,2385.50
6,2373.00
19,2371.68
175,2370.24
150,2369.50
10,2369.00
546,2369.00
261,2360.28
477,2349.38
475,2346.72
123,2346.48
528,2345.00
229,2343.75
316,2343.49
287,2342.62
228,2342.25
561,2342.25
466,2340.94
188,2318.75
231,2308.02
541,2298.72
519,2294.94
201,2294.50
417,2294.50
322,2290.68
153,2274.24
290,2261.84
208,2255.50
409,2248.94
192,2248.94
507,2244.25
156,2244.25
235,2244.25
69,2244.25
463,2244.00
498,2234.52
450,2229.50
511,2226.72
379,2226.17
352,2225.94
60,2219.50
151,2207.25
338,2206.40
106,2203.17
180,2202.94
305,2195.00
597,2194.25
99,2178.48
232,2169.25
419,2169.00
432,2157.40
43,2154.72
73,2154.72
282,2154.60
34,2154.24
367,2151.60
65,2151.60
359,2144.50
24,2144.25
365,2134.17
431,2133.94
375,2131.20
312,2126.80
215,2125.76
37,2111.17
392,2110.71
554,2107.60
578,2107.38
488,2107.16
130,2106.72
351,2106.48
357,2100.02
216,2087.94
22,2085.82
68,2085.16
101,2082.48
304,2075.06
109,2075.06
387,2074.28
596,2065.84
364,2064.94
233,2064.71
321,2064.26
443,2063.38
455,2058.72
382,2058.72
8,2058.48
298,2048.54
308,2045.25
249,2042.63
415,2041.94
47,2041.82
544,2041.60
81,2041.38
547,2019.40
217,1996.17
564,1986.72
437,1973.40
551,1970.54
435,1969.25
534,1962.72
527,1962.24
247,1953.82
327,1945.06
384,1944.75
142,1944.02
523,1931.60
476,1931.60
189,1931.38
505,1928.01
489,1928.01
283,1925.56
411,1917.76
169,1909.60
67,1909.60
270,1895.25
227,1890.72
552,1885.80
104,1866.72
278,1866.54
243,1866.48
55,1865.82
539,1865.60
33,1864.80
311,1859.55
184,1858.40
521,1857.71
17,1844.22
480,1843.82
143,1843.60
226,1843.59
440,1843.38
598,1843.16
303,1841.06
212,1836.00
185,1835.40
238,1823.01
501,1823.01
9,1812.40
62,1812.17
4,1799.16
134,1789.63
545,1781.01
88,1780.80
246,1766.86
93,1766.40
203,1756.20
369,1744.75
530,1742.94
183,1742.94
496,1739.01
509,1736.40
18,1733.82
76,1720.17
174,1718.01
165,1717.80
567,1716.00
394,1711.60
291,1698.09
335,1696.94
224,1689.16
85,1674.17
429,1655.64
177,1650.71
478,1649.39
195,1649.39
79,1623.82
543,1623.60
326,1620.50
449,1616.60
118,1612.80
325,1602.04
358,1591.80
430,1579.60
412,1571.43
420,1570.80
402,1556.20
524,1554.77
399,1550.22
152,1550.01
514,1535.38
557,1530.72
556,1529.22
542,1527.12
330,1520.50
328,1514.09
301,1508.85
140,1508.76
222,1508.64
94,1508.01
599,1497.58
428,1476.20
483,1472.94
313,1468.32
350,1467.17
205,1454.76
568,1402.59
413,1382.01
310,1377.40
355,1376.20
70,1364.94
194,1347.12
378,1345.58
370,1345.39
191,1336.40
117,1326.77
223,1323.28
401,1319.01
272,1317.40
95,1310.94
525,1307.58
252,1293.60
255,1274.76
555,1272.11
458,1269.39
288,1267.44
549,1256.80
159,1235.43
218,1220.76
548,1212.96
162,1196.60
353,1184.94
398,1181.60
465,1170.28
344,1167.12
48,1153.62
315,1153.62
395,1098.39
250,1097.00
464,1085.76
97,1058.76
124,1041.48
164,1037.60
271,1023.12
492,1005.60
586,965.77
320,957.00
136,897.90
61,810.18
110,698.32
248,568.05
281,460.60
318,335.16
